Chart of accounts Id,Chart of accounts,ID,Accounting account,Label,Parent account,Group of account,Centralized account,Status,
11,IN-GAAP,100770103,3000,Share Capital,0,CAPIT,1,1,
11,IN-GAAP,100770104,3001,Equity Share Capital,3000,CAPIT,1,1,
11,IN-GAAP,100770105,3002,Preference Share Capital,3000,CAPIT,1,1,
11,IN-GAAP,100770106,3003,Share Premium,3000,CAPIT,1,1,
11,IN-GAAP,100770107,3100,Reserves and Surplus,0,CAPIT,1,1,
11,IN-GAAP,100770108,3101,Capital Reserve,3100,CAPIT,1,1,
11,IN-GAAP,100770109,3102,Securities Premium Reserve,3100,CAPIT,1,1,
11,IN-GAAP,100770110,3103,General Reserve,3100,CAPIT,1,1,
11,IN-GAAP,100770111,3110,Retained Earnings,3100,CAPIT,1,1,
11,IN-GAAP,100770112,3111,Profit for Current Year,3110,CAPIT,1,1,
11,IN-GAAP,100770113,3112,Loss for Current Year,3110,CAPIT,1,1,
11,IN-GAAP,100770114,3120,Surplus (Profit and Loss Account),3100,CAPIT,1,1,
11,IN-GAAP,100770115,2500,Long-term Borrowings,0,CAPIT,0,1,
11,IN-GAAP,100770116,2501,Term Loans from Banks,2500,CAPIT,0,1,
11,IN-GAAP,100770117,2502,Term Loans from Financial Institutions,2500,CAPIT,0,1,
11,IN-GAAP,100770118,2503,Debentures and Bonds,2500,CAPIT,0,1,
11,IN-GAAP,100770119,2504,Unsecured Loans,2500,CAPIT,0,1,
11,IN-GAAP,100770120,2510,Deferred Tax Liability,0,CAPIT,0,1,
11,IN-GAAP,100770121,2520,Long-term Provisions,0,CAPIT,0,1,
11,IN-GAAP,100770122,2521,Provision for Employee Benefits,2520,CAPIT,0,1,
11,IN-GAAP,100770123,2522,Provision for Gratuity,2520,CAPIT,0,1,
11,IN-GAAP,100770155,1500,Fixed Assets - Tangible,0,IMMO,0,1,
11,IN-GAAP,100770156,1501,Land - Freehold,1500,IMMO,0,1,
11,IN-GAAP,100770157,1502,Land - Leasehold,1500,IMMO,0,1,
11,IN-GAAP,100770158,1510,Buildings,1500,IMMO,0,1,
11,IN-GAAP,100770159,1511,Factory Buildings,1510,IMMO,0,1,
11,IN-GAAP,100770160,1512,Office Buildings,1510,IMMO,0,1,
11,IN-GAAP,100770161,1520,Plant and Machinery,1500,IMMO,0,1,
11,IN-GAAP,100770162,1521,Manufacturing Equipment,1520,IMMO,0,1,
11,IN-GAAP,100770163,1522,Processing Machinery,1520,IMMO,0,1,
11,IN-GAAP,100770164,1530,Furniture and Fixtures,1500,IMMO,0,1,
11,IN-GAAP,100770165,1531,Office Furniture,1530,IMMO,0,1,
11,IN-GAAP,100770166,1540,Vehicles,1500,IMMO,0,1,
11,IN-GAAP,100770167,1541,Motor Vehicles,1540,IMMO,0,1,
11,IN-GAAP,100770168,1542,Delivery Vans,1540,IMMO,0,1,
11,IN-GAAP,100770169,1550,Office Equipment,1500,IMMO,0,1,
11,IN-GAAP,100770170,1551,Computers and IT Equipment,1550,IMMO,0,1,
11,IN-GAAP,100770171,1552,Printers and Scanners,1550,IMMO,0,1,
11,IN-GAAP,100770172,1600,Fixed Assets - Intangible,0,IMMO,0,1,
11,IN-GAAP,100770173,1601,Goodwill,1600,IMMO,0,1,
11,IN-GAAP,100770174,1602,Patents and Trademarks,1600,IMMO,0,1,
11,IN-GAAP,100770175,1603,Software Licenses,1600,IMMO,0,1,
11,IN-GAAP,100770176,1604,Research and Development,1600,IMMO,0,1,
11,IN-GAAP,100770177,1650,Capital Work in Progress,0,IMMO,0,1,
11,IN-GAAP,100770178,1651,Building Under Construction,1650,IMMO,0,1,
11,IN-GAAP,100770179,1652,Machinery Under Installation,1650,IMMO,0,1,
11,IN-GAAP,100770180,1680,Accumulated Depreciation,0,IMMO,0,1,
11,IN-GAAP,100770181,1681,Depreciation - Buildings,1680,IMMO,0,1,
11,IN-GAAP,100770182,1682,Depreciation - Plant and Machinery,1680,IMMO,0,1,
11,IN-GAAP,100770183,1683,Depreciation - Furniture and Fixtures,1680,IMMO,0,1,
11,IN-GAAP,100770184,1684,Depreciation - Vehicles,1680,IMMO,0,1,
11,IN-GAAP,100770185,1685,Depreciation - Office Equipment,1680,IMMO,0,1,
11,IN-GAAP,100770202,1300,Inventories,0,STOCK,0,1,
11,IN-GAAP,100770203,1301,Raw Materials,1300,STOCK,0,1,
11,IN-GAAP,100770204,1302,Chemicals - Type A,1301,STOCK,0,1,
11,IN-GAAP,100770205,1303,Chemicals - Type B,1301,STOCK,0,1,
11,IN-GAAP,100770206,1310,Packing Materials,1300,STOCK,0,1,
11,IN-GAAP,100770207,1311,Containers and Drums,1310,STOCK,0,1,
11,IN-GAAP,100770208,1312,Labels and Packaging,1310,STOCK,0,1,
11,IN-GAAP,100770209,1320,Stores and Spares,1300,STOCK,0,1,
11,IN-GAAP,100770210,1330,Work in Progress (WIP),1300,STOCK,0,1,
11,IN-GAAP,100770211,1331,Semi-finished Goods,1330,STOCK,0,1,
11,IN-GAAP,100770212,1340,Finished Goods,1300,STOCK,0,1,
11,IN-GAAP,100770213,1341,Product - Bulk Chemicals,1340,STOCK,0,1,
11,IN-GAAP,100770214,1342,Product - Specialty Chemicals,1340,STOCK,0,1,
11,IN-GAAP,100770215,1343,Product - Formulations,1340,STOCK,0,1,
11,IN-GAAP,100770216,1350,Stock Provisions,0,STOCK,0,1,
11,IN-GAAP,100770217,1351,Provision for Obsolete Stock,1350,STOCK,0,1,
11,IN-GAAP,100770218,1352,Provision for Slow-moving Stock,1350,STOCK,0,1,
11,IN-GAAP,100770230,1200,Trade Receivables (Debtors),0,THIRDPARTY,0,1,
